,,,,,,,,,,,,,,,,,,,
PILIH UNIT MOBIL DI SINI ➡️,PAGODA Mr. DIDI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NO,KODE PART,BAGIAN /,NAMA PART,KONDISI,,,JUMLAH,LOKASI,TANGGAL,,KETERANGAN,FOTO,,,,,,
,,,PANEL,,BARU,READY,BEKAS,,,MASUK,KELUAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,128,001-0060,ENGINE,Screw (188),FALSE,TRUE,FALSE,9 PCS,RT - C4,,,Keranjang 1,,,,,,,
,129,001-0061,ENGINE,Washer (191),FALSE,TRUE,FALSE,7 PCS,RT - C4,,,Keranjang 1,,,,,,,
,130,001-0062,ENGINE,Hose (23),FALSE,FALSE,TRUE,2 PCS,RT - C4,,,Keranjang 1,,,,,,,
,131,001-0063,ENGINE,Hose (97),FALSE,FALSE,TRUE,3 PCS,RT - C4,,,Keranjang 1,,,,,,,
,132,001-0064,ENGINE,Intermediate gear,FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 3,,,,,,,
,133,001-0065,ENGINE,Camshaft gear,FALSE,TRUE,FALSE,2 PCS,RT - C11,,,Keranjang 3,,,,,,,
,134,001-0066,ENGINE,Chain tightener range of delivery,FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 3,,,,,,,
,135,001-0067,ENGINE,,FALSE,FALSE,TRUE,3 PCS,RT - C11,,,Keranjang 3,,,,,,,
,136,001-0068,ENGINE,Sliding rail (59),FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 3,,,,,,,
,137,001-0069,ENGINE,Sliding rail (68),FALSE,FALSE,TRUE,1 PCS,RT - C11,,,Keranjang 3,,,,,,,
,138,001-0070,ENGINE,Sliding rail (41),FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 3,,,,,,,
,139,001-0071,ENGINE,Rubber lining,FALSE,FALSE,TRUE,1 PCS,RT - C11,,,Keranjang 3,,,,,,,
,140,001-0072,ENGINE,Roller chain with lock,FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 3,,,,,,,
,141,001-0073,ENGINE,Gasket (47),FALSE,FALSE,TRUE,8 PCS,RT - C13,,,,,,,,,,
,142,001-0074,ENGINE,Rod (59),FALSE,TRUE,FALSE,1 PCS,RT - C13,,,,,,,,,,
,143,002-0024,UNDERCARIAGE,"Switch,automatic",FALSE,TRUE,FALSE,1 PCS,RT - C35,,,Keranjang 2,,,,,,,
,144,002-0025,UNDERCARIAGE,-602,FALSE,TRUE,FALSE,1 PCS,RT - C35,,,Keranjang 2,,,,,,,
,145,003-0023,ELECTRICAL,Cable connector,FALSE,FALSE,TRUE,1 PCS,RT - C11,,,,,,,,,,
,146,004-0013,INTERIOR,Glove compartment,FALSE,FALSE,TRUE,1 PCS,RT - C35,,,Keranjang 2,,,,,,,
,147,001-0075,ENGINE,Screw (23),FALSE,TRUE,FALSE,2 PCS,RT - C11,,,,,,,,,,
