,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Report Project DAILY JUNI,,,,,,,,,,,,,,,,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"PERHITUNGAN JAM KERJA DI LUAR TEAM MIS & WAREHOUSE (GABUNGAN MARGIN, NON MARGIN & ALL UNIT)",,,,UNIT MARGIN,,,,,,,,,,UNIT MARGIN,,,,,,,,,,UNIT MARGIN,,,,,,,,
,UNIT MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 8-13 JUNI,ACTUAL FOTO SPF (Done),,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 15-21 JUNI,ACTUAL FOTO SPF (Done),,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 22-30 JUNI,ACTUAL FOTO SPF (Done)
,UNIT NON MARGIN,,,,,,,,,,,,,,,,,,,,,"Minggu, 28 Juni 2026",65:28,,,MB E320 SPORTLINE HIJAU Mr. DIKO,0,0,0,0,0,0,0,0,,MB R 230 Mr. STANLEY,0,0,0,0,0,0,0,7,,MB R 230 Mr. STANLEY,1,0,0,0,0,0,1,0
,1,BMW 530 I Mr. MARTHIN,20:00,31:30,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,11:06,0:00,0:00,0:00,0:00,20:00,42:36,,"Senin, 29 Juni 2026",381:06,,,MB W 111 KEBO SM,0,1,0,0,0,0,1,1,,MB W 111 KEBO SM,0,0,0,2,0,0,2,2,,MB W 111 KEBO SM,0,0,0,1,0,0,1,1
,2,MB PULLMAN Mr. ILHAM,20:00,8:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,20:00,8:00,,"Selasa, 30 Juni 2026",514:02,,,BMW 530 I Mr. MARTHIN,0,0,0,0,0,0,0,0,,BMW 530 I Mr. MARTHIN,8,0,0,0,0,2,10,0,,BMW 530 I Mr. MARTHIN,3,0,0,0,0,0,3,0
,3,BMW 750 IL BARU Mr. STANLEY,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,,TOTAL,13239:23,,,BMW 750 IL BARU Mr. STANLEY,0,0,0,0,0,0,0,0,,BMW 750 IL BARU Mr. STANLEY,0,0,0,0,0,0,0,0,,BMW 750 IL BARU Mr. STANLEY,0,0,0,0,0,0,0,0
,4,BMW 750 IL LAMA Mr. STANLEY,0:00,0:00,0:00,0:00,0:00,3:00,,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,3:00,,,,,,BMW 750 IL LAMA Mr. STANLEY,0,0,0,0,0,0,0,0,,BMW 750 IL LAMA Mr. STANLEY,0,0,0,0,0,0,0,0,,BMW 750 IL LAMA Mr. STANLEY,0,0,1,0,0,0,1,1
,5,FIAT MULTIPLA Mr. JOKO,500:00,706:27,400:00,766:34,350:00,749:23,350:00,407:42,100:00,151:40,0:00,119:11,0:00,0:00,0:00,0:00,1700:00,2900:57,,PERSENTASE,,,,HONDA CR-V Mr. MARTHIN,0,0,0,0,0,0,0,0,,HONDA CR-V Mr. MARTHIN,0,0,0,0,0,0,0,0,,HONDA CR-V Mr. MARTHIN,1,0,0,0,0,0,1,0
,6,HONDA CR-V Mr. MARTHIN,50:00,9:15,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,50:00,9:15,,MARGIN,82%,,,HONDA N360 Mr. ERIC,0,0,0,0,0,0,0,0,,HONDA N360 Mr. ERIC,0,0,0,0,0,0,0,0,,HONDA N360 Mr. ERIC,0,0,0,0,0,0,0,0
,7,HONDA N360 Mr. ERIC,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,,NON MARGIN,"160,6%",,,KIJANG SM,0,1,1,0,0,0,2,0,,KIJANG SM,1,0,0,0,0,0,1,0,,KIJANG SM,2,0,0,0,0,0,2,0
,8,KIJANG BIRU Mr. MARTHIN,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,MB E320 NEW EYES Mr. MARTHIN,0,0,0,0,0,0,0,0,,MB E320 NEW EYES Mr. MARTHIN,0,0,0,0,0,0,0,0,,MB E320 NEW EYES Mr. MARTHIN,0,0,0,0,0,0,0,0
,9,KIJANG SM,50:00,18:10,0:00,4:00,0:00,1:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,50:00,23:10,,,,,,MB W111 KEBO Mr. PRAM,0,0,0,0,0,0,0,0,,MB W111 KEBO Mr. PRAM,0,0,0,0,0,0,0,0,,MB W111 KEBO Mr. PRAM,0,0,0,4,0,0,4,4
