,,,,,,,,,,,,,
,,,,,,,,,,,,,
NO,NAMA ,UNIT,TANGGAL,DIVISI,PEMBAHASAN,STATUS,,,KETERANGAN,APPROVAL COO,,STATUS PEMBAHASAN,
36,RIZKI M,PORSCHE 930 Mr. ADRIAN,"Kamis, 07 Mei 2026",MEKANIK ,"LAMPU REM MATI SAAT PEDAL DI INJAK, SWITCH REM MATI. IZIN UNTUK DI GANTI SEBELUM NYA HANYA DI RESTORE",FALSE,FALSE,TRUE,"LEPAS LALU BERSIHKAN, JIKA TIDAK FUNGSI BARU HUNTING , BLEEDING REM",FALSE,TRUE,DONE,sudah terpasang
37,PRATAMA,MB R129 Mr. DIKO,"Kamis, 07 Mei 2026",MEKANIK ,"KATUP EVAPORATOR TENGAH, BAWAH, ATAS TIDAK ADA BAWAAN",FALSE,FALSE,TRUE,CARI PERSAMAAN HOUSING SECOND DENGAN CATATAN FLIP KATUP LENGKAP,FALSE,TRUE,ON PROGRESS,Masih Proses hunting part
38,PRATAMA,MB R129 Mr. DIKO,"Kamis, 07 Mei 2026",MEKANIK ,AKTUATOR KATUP BAWAAN TIDAK ADA,FALSE,FALSE,TRUE,CARI PERSAMAAN HOUSING SECOND INFOKAN DLU HARGA,FALSE,TRUE,ON PROGRESS,Masih Proses hunting part
39,PRATAMA,MB R129 Mr. DIKO,"Kamis, 07 Mei 2026",MEKANIK ,HETER TIDAK FUNGSI,FALSE,FALSE,TRUE,ACC TIDAK FUNGSI,FALSE,TRUE,DONE,-
40,PRATAMA,MB R129 Mr. DIKO,"Kamis, 07 Mei 2026",MEKANIK ,RESERVOIR RADIATOR KOTOR SUDAH DI KURAS TAPI MASIH ADA KOTORAN,FALSE,FALSE,TRUE,PASANG KEMBALI,FALSE,TRUE,DONE,-
41,JAYA ,MB W124 E320 SPORTLINE Mr. MARTHIN,"Kamis, 14 Mei 2026",BODY WORK ,KARET HANDLE PINTU SUDAH KERAS DAN MENYUSUT UKURAN NYA. IZIN UNTUK DI GANTI,FALSE,FALSE,TRUE,ACC ORDER 4 ,TRUE,FALSE,DONE,TGL 14 MEI PR SUDAH MASUK KE PURCHASING
42,IQBAL N,MB 500 SEC Mr. DIKO,"Kamis, 14 Mei 2026",MEKANIK ,"1, KOMPONEN WORM STEER BAGIAN DALAM NYA SUDAH TERKIKIS IZIN HUNTING HANTI 2, SELANG-SELANG POWER STEERING SUDAH RETAK IZIN UNTUK DI GANTI",FALSE,FALSE,TRUE,"1. HUNTING LOKAL SECOND INFORMASIKAN DULU HARGA NYA 2, GANTI",TRUE,FALSE,ON PROGRESS,
43,IQBAL N,MB 500 SEL Mr. SILMY,"Kamis, 14 Mei 2026",MEKANIK ,cat sunvisor di tinjau,FALSE,FALSE,TRUE,warna sangat jauh tidak ACC,FALSE,TRUE,DONE,
44,IQBAL N,MB 500 SEL Mr. SILMY,"Kamis, 14 Mei 2026",MEKANIK ,kerataan body setelah penambahan ganjal per kaki-kaki,FALSE,FALSE,TRUE,sudah bagus,TRUE,FALSE,DONE,SUDAH ACC BP
45,JAYA ,MB MPS Mr. DIKO,"Jumat, 15 Mei 2026",BODY WORK ,LIS MOULDING PINTU BELAKANG LH PENDEK DI BANDINGKAN RH,FALSE,FALSE,TRUE,TUKAR DENGAN MB SP SILVER,TRUE,FALSE,DONE,PROSES SANDING POLES D.CHROME
